,Batch,ID,Time,Embryo,Zona
0,D2018_01_29_S00153_I0831_D_pdb,E5,4866,0.1944,0.3054
1,D2018_01_29_S00153_I0831_D_pdb,E5,431,0.1930,0.3160
2,D2018_01_29_S00153_I0831_D_pdb,E5,1790,0.1974,0.3033
3,D2018_01_29_S00153_I0831_D_pdb,E5,4986,0.1916,0.3088
4,D2018_01_29_S00153_I0831_D_pdb,E5,7219,0.2169,0.3237
5,D2018_01_29_S00153_I0831_D_pdb,E5,8702,,
6,D2018_01_29_S00153_I0831_D_pdb,E5,2544,0.1960,0.3067
7,D2018_01_29_S00153_I0831_D_pdb,E5,7599,0.2170,0.3187
8,D2018_01_29_S00153_I0831_D_pdb,E5,5516,0.1899,0.3046
9,D2018_01_29_S00153_I0831_D_pdb,E5,9703,,
10,D2018_01_29_S00153_I0831_D_pdb,E5,8502,,
11,D2018_01_29_S00153_I0831_D_pdb,E5,4126,0.1978,0.3054
12,D2018_01_29_S00153_I0831_D_pdb,E5,9293,,
13,D2018_01_29_S00153_I0831_D_pdb,E5,6047,0.1941,0.3031
14,D2018_01_29_S00153_I0831_D_pdb,E5,7449,0.2184,0.3223
15,D2018_01_29_S00153_I0831_D_pdb,E5,8189,0.2069,0.3141
16,D2018_01_29_S00153_I0831_D_pdb,E5,921,0.1954,0.3177
17,D2018_01_29_S00153_I0831_D_pdb,E5,501,0.1927,0.3163
18,D2018_01_29_S00153_I0831_D_pdb,E5,4696,0.1936,0.3087
19,D2018_01_29_S00153_I0831_D_pdb,E5,4476,0.1953,0.3073
20,D2018_01_29_S00153_I0831_D_pdb,E5,9433,,
21,D2018_01_29_S00153_I0831_D_pdb,E5,8592,,
22,D2018_01_29_S00153_I0831_D_pdb,E5,5156,0.1914,0.3028
23,D2018_01_29_S00153_I0831_D_pdb,E5,1051,0.1949,0.3175
24,D2018_01_29_S00153_I0831_D_pdb,E5,591,0.1930,0.3139
25,D2018_01_29_S00153_I0831_D_pdb,E5,1440,0.1931,0.3075
26,D2018_01_29_S00153_I0831_D_pdb,E5,5346,0.1902,0.3065
27,D2018_01_29_S00153_I0831_D_pdb,E5,161,0.1920,0.3156
28,D2018_01_29_S00153_I0831_D_pdb,E5,7679,0.2070,0.3090
29,D2018_01_29_S00153_I0831_D_pdb,E5,7189,0.2107,0.3158
30,D2018_01_29_S00153_I0831_D_pdb,E5,1210,0.1950,0.3115
31,D2018_01_29_S00153_I0831_D_pdb,E5,7439,0.2181,0.3224
32,D2018_01_29_S00153_I0831_D_pdb,E5,4906,0.1935,0.3065
33,D2018_01_29_S00153_I0831_D_pdb,E5,3791,0.1974,0.3045
34,D2018_01_29_S00153_I0831_D_pdb,E5,7899,0.2077,0.3077
35,D2018_01_29_S00153_I0831_D_pdb,E5,6648,0.1907,0.3064
36,D2018_01_29_S00153_I0831_D_pdb,E5,3381,0.1977,0.3066
37,D2018_01_29_S00153_I0831_D_pdb,E5,9800,,
38,D2018_01_29_S00153_I0831_D_pdb,E5,7079,0.1960,0.3067
39,D2018_01_29_S00153_I0831_D_pdb,E5,7429,0.2150,0.3222
40,D2018_01_29_S00153_I0831_D_pdb,E5,2971,0.1959,0.3098
41,D2018_01_29_S00153_I0831_D_pdb,E5,5768,0.1933,0.3037
42,D2018_01_29_S00153_I0831_D_pdb,E5,5646,0.1960,0.3006
43,D2018_01_29_S00153_I0831_D_pdb,E5,4166,0.2003,0.3135
44,D2018_01_29_S00153_I0831_D_pdb,E5,7259,0.2179,0.3238
45,D2018_01_29_S00153_I0831_D_pdb,E5,7048,0.1969,0.3038
46,D2018_01_29_S00153_I0831_D_pdb,E5,8219,0.2036,0.3135
47,D2018_01_29_S00153_I0831_D_pdb,E5,3401,0.1948,0.3055
48,D2018_01_29_S00153_I0831_D_pdb,E5,9770,,
49,D2018_01_29_S00153_I0831_D_pdb,E5,9523,,
50,D2018_01_29_S00153_I0831_D_pdb,E5,8149,0.2022,0.2950
51,D2018_01_29_S00153_I0831_D_pdb,E5,1380,0.1910,0.3053
52,D2018_01_29_S00153_I0831_D_pdb,E5,331,0.1918,0.3155
53,D2018_01_29_S00153_I0831_D_pdb,E5,9303,,
54,D2018_01_29_S00153_I0831_D_pdb,E5,8369,0.1940,0.2729
55,D2018_01_29_S00153_I0831_D_pdb,E5,871,0.1946,0.3173
56,D2018_01_29_S00153_I0831_D_pdb,E5,181,0.1942,0.3148
57,D2018_01_29_S00153_I0831_D_pdb,E5,291,0.1936,0.3142
58,D2018_01_29_S00153_I0831_D_pdb,E5,9583,,
59,D2018_01_29_S00153_I0831_D_pdb,E5,541,0.1929,0.3181
60,D2018_01_29_S00153_I0831_D_pdb,E5,1680,0.1975,0.3060
61,D2018_01_29_S00153_I0831_D_pdb,E5,3241,0.1960,0.3050
62,D2018_01_29_S00153_I0831_D_pdb,E5,5096,0.1921,0.3062
63,D2018_01_29_S00153_I0831_D_pdb,E5,1490,0.1912,0.3059
64,D2018_01_29_S00153_I0831_D_pdb,E5,5026,0.1936,0.3089
65,D2018_01_29_S00153_I0831_D_pdb,E5,4086,0.1968,0.3053
66,D2018_01_29_S00153_I0831_D_pdb,E5,9543,,
67,D2018_01_29_S00153_I0831_D_pdb,E5,5366,0.1924,0.3045
68,D2018_01_29_S00153_I0831_D_pdb,E5,6928,0.1922,0.3045
69,D2018_01_29_S00153_I0831_D_pdb,E5,7919,0.2105,0.3133
70,D2018_01_29_S00153_I0831_D_pdb,E5,9920,,
