,Batch,ID,Time,Embryo,Zona,Ratio
0,D2018_02_25_S00434_I0776,E4,3907,0.1789,0.3098,0.5775
1,D2018_02_25_S00434_I0776,E4,2429,0.1797,0.3108,0.5782
2,D2018_02_25_S00434_I0776,E4,4355,0.1817,0.3151,0.5766
3,D2018_02_25_S00434_I0776,E4,5335,0.1789,0.3106,0.5760
4,D2018_02_25_S00434_I0776,E4,5425,0.1777,0.3117,0.5701
5,D2018_02_25_S00434_I0776,E4,3426,0.1783,0.3086,0.5778
6,D2018_02_25_S00434_I0776,E4,2499,0.1782,0.3092,0.5763
7,D2018_02_25_S00434_I0776,E4,4765,0.1794,0.3123,0.5744
8,D2018_02_25_S00434_I0776,E4,2816,0.1786,0.3078,0.5802
9,D2018_02_25_S00434_I0776,E4,6826,0.3858,0.4247,0.9084
10,D2018_02_25_S00434_I0776,E4,3597,0.1797,0.3104,0.5789
11,D2018_02_25_S00434_I0776,E4,1418,0.1739,0.3090,0.5628
12,D2018_02_25_S00434_I0776,E4,5145,0.1825,0.3124,0.5842
13,D2018_02_25_S00434_I0776,E4,3547,0.1785,0.3090,0.5777
14,D2018_02_25_S00434_I0776,E4,2299,0.1745,0.3049,0.5723
15,D2018_02_25_S00434_I0776,E4,2846,0.1793,0.3118,0.5750
16,D2018_02_25_S00434_I0776,E4,6671,0.3368,0.3923,0.8585
17,D2018_02_25_S00434_I0776,E4,8916,,,
18,D2018_02_25_S00434_I0776,E4,1148,0.1761,0.3052,0.5770
19,D2018_02_25_S00434_I0776,E4,4585,0.1810,0.3124,0.5794
20,D2018_02_25_S00434_I0776,E4,9136,,,
21,D2018_02_25_S00434_I0776,E4,2098,0.1740,0.3076,0.5657
22,D2018_02_25_S00434_I0776,E4,4267,0.1829,0.3123,0.5857
23,D2018_02_25_S00434_I0776,E4,9457,,,
24,D2018_02_25_S00434_I0776,E4,5860,0.1776,0.3078,0.5770
25,D2018_02_25_S00434_I0776,E4,4945,0.1803,0.3093,0.5829
26,D2018_02_25_S00434_I0776,E4,5635,0.1729,0.3094,0.5588
27,D2018_02_25_S00434_I0776,E4,3917,0.1795,0.3100,0.5790
28,D2018_02_25_S00434_I0776,E4,9116,,,
29,D2018_02_25_S00434_I0776,E4,8496,,,
30,D2018_02_25_S00434_I0776,E4,4147,0.1779,0.3096,0.5746
31,D2018_02_25_S00434_I0776,E4,5315,0.1792,0.3101,0.5779
32,D2018_02_25_S00434_I0776,E4,4127,0.1776,0.3106,0.5718
33,D2018_02_25_S00434_I0776,E4,2976,0.1762,0.3105,0.5675
34,D2018_02_25_S00434_I0776,E4,5375,0.1776,0.3084,0.5759
35,D2018_02_25_S00434_I0776,E4,4057,0.1798,0.3120,0.5763
36,D2018_02_25_S00434_I0776,E4,1278,0.1735,0.3076,0.5640
37,D2018_02_25_S00434_I0776,E4,7927,,,
38,D2018_02_25_S00434_I0776,E4,8241,,,
39,D2018_02_25_S00434_I0776,E4,8666,,,
40,D2018_02_25_S00434_I0776,E4,7070,,,
