,Batch,ID,Time,Class,Confidence,Size
0,D2018_02_25_S00434_I0776,E4,3907,zona,0.9982,0.4067
1,D2018_02_25_S00434_I0776,E4,2429,zona,0.9996,0.2941
2,D2018_02_25_S00434_I0776,E4,2429,embryo,0.7379,0.2172
3,D2018_02_25_S00434_I0776,E4,4355,zona,0.9997,0.3047
4,D2018_02_25_S00434_I0776,E4,5335,zona,0.9997,0.3067
5,D2018_02_25_S00434_I0776,E4,5425,zona,0.9996,0.3043
6,D2018_02_25_S00434_I0776,E4,5425,embryo,0.6577,0.1978
7,D2018_02_25_S00434_I0776,E4,3426,zona,0.9992,0.4002
8,D2018_02_25_S00434_I0776,E4,2499,zona,0.9981,0.2807
9,D2018_02_25_S00434_I0776,E4,4765,zona,0.9979,0.2988
10,D2018_02_25_S00434_I0776,E4,2816,zona,1.0000,0.2974
11,D2018_02_25_S00434_I0776,E4,2816,embryo,0.5081,0.2159
12,D2018_02_25_S00434_I0776,E4,6826,zona,0.9829,0.4735
13,D2018_02_25_S00434_I0776,E4,3597,zona,0.9996,0.3001
14,D2018_02_25_S00434_I0776,E4,3597,embryo,0.5221,0.2009
15,D2018_02_25_S00434_I0776,E4,1418,zona,0.9998,0.2927
16,D2018_02_25_S00434_I0776,E4,5145,zona,0.9990,0.3892
17,D2018_02_25_S00434_I0776,E4,5145,embryo,0.9469,0.1952
18,D2018_02_25_S00434_I0776,E4,3547,zona,0.9995,0.2938
19,D2018_02_25_S00434_I0776,E4,3547,embryo,0.6181,0.1977
20,D2018_02_25_S00434_I0776,E4,2299,zona,0.9981,0.2902
21,D2018_02_25_S00434_I0776,E4,2846,zona,0.9999,0.2946
22,D2018_02_25_S00434_I0776,E4,2846,embryo,0.5522,0.2181
23,D2018_02_25_S00434_I0776,E4,6671,zona,0.9987,0.3873
24,D2018_02_25_S00434_I0776,E4,6671,embryo,0.9931,0.2699
25,D2018_02_25_S00434_I0776,E4,1148,zona,0.9998,0.2914
26,D2018_02_25_S00434_I0776,E4,4585,zona,0.9990,0.2932
27,D2018_02_25_S00434_I0776,E4,4585,embryo,0.7102,0.2093
28,D2018_02_25_S00434_I0776,E4,2098,zona,0.9977,0.2856
29,D2018_02_25_S00434_I0776,E4,4267,zona,0.9996,0.3937
30,D2018_02_25_S00434_I0776,E4,4267,embryo,0.5764,0.2237
31,D2018_02_25_S00434_I0776,E4,5860,zona,1.0000,0.3134
