,Batch,ID,Time,Class,Confidence,Size
0,D2018_02_25_S00434_I0776,E4,3907,embryo,1.0000,0.1928
1,D2018_02_25_S00434_I0776,E4,3907,zona,0.9998,0.3329
2,D2018_02_25_S00434_I0776,E4,2429,zona,0.9997,0.3295
3,D2018_02_25_S00434_I0776,E4,2429,embryo,0.9996,0.2188
4,D2018_02_25_S00434_I0776,E4,4355,zona,0.9998,0.3247
5,D2018_02_25_S00434_I0776,E4,4355,embryo,0.9997,0.1993
6,D2018_02_25_S00434_I0776,E4,5335,zona,0.9999,0.3318
7,D2018_02_25_S00434_I0776,E4,5335,embryo,0.9999,0.2103
8,D2018_02_25_S00434_I0776,E4,5425,zona,0.9999,0.3240
9,D2018_02_25_S00434_I0776,E4,5425,embryo,0.9870,0.2472
10,D2018_02_25_S00434_I0776,E4,3426,embryo,1.0000,0.1829
11,D2018_02_25_S00434_I0776,E4,3426,zona,0.9995,0.3386
12,D2018_02_25_S00434_I0776,E4,2499,embryo,0.9997,0.2292
13,D2018_02_25_S00434_I0776,E4,2499,zona,0.9997,0.3663
14,D2018_02_25_S00434_I0776,E4,4765,embryo,1.0000,0.1966
15,D2018_02_25_S00434_I0776,E4,4765,zona,0.9999,0.3502
16,D2018_02_25_S00434_I0776,E4,2816,zona,0.9996,0.3702
17,D2018_02_25_S00434_I0776,E4,2816,embryo,0.9991,0.2019
18,D2018_02_25_S00434_I0776,E4,6826,zona,0.8916,0.3536
19,D2018_02_25_S00434_I0776,E4,3597,embryo,1.0000,0.1951
20,D2018_02_25_S00434_I0776,E4,3597,zona,0.9986,0.3528
21,D2018_02_25_S00434_I0776,E4,1418,embryo,0.9999,0.1837
22,D2018_02_25_S00434_I0776,E4,1418,zona,0.9985,0.2995
23,D2018_02_25_S00434_I0776,E4,5145,embryo,1.0000,0.1960
24,D2018_02_25_S00434_I0776,E4,5145,zona,0.9998,0.3498
25,D2018_02_25_S00434_I0776,E4,3547,embryo,1.0000,0.2084
26,D2018_02_25_S00434_I0776,E4,3547,zona,0.9999,0.3338
27,D2018_02_25_S00434_I0776,E4,2299,embryo,0.9995,0.1930
28,D2018_02_25_S00434_I0776,E4,2299,zona,0.9954,0.3143
29,D2018_02_25_S00434_I0776,E4,2846,zona,0.9999,0.3597
30,D2018_02_25_S00434_I0776,E4,2846,embryo,0.9997,0.2083
31,D2018_02_25_S00434_I0776,E4,6671,embryo,0.9994,0.2358
32,D2018_02_25_S00434_I0776,E4,6671,zona,0.9976,0.3220
33,D2018_02_25_S00434_I0776,E4,1148,zona,0.9995,0.3419
34,D2018_02_25_S00434_I0776,E4,1148,embryo,0.9984,0.1794
35,D2018_02_25_S00434_I0776,E4,4585,embryo,1.0000,0.1833
36,D2018_02_25_S00434_I0776,E4,4585,zona,0.9999,0.3410
37,D2018_02_25_S00434_I0776,E4,2098,embryo,0.9986,0.1856
38,D2018_02_25_S00434_I0776,E4,2098,zona,0.9974,0.3347
39,D2018_02_25_S00434_I0776,E4,4267,embryo,1.0000,0.1997
40,D2018_02_25_S00434_I0776,E4,4267,zona,0.9999,0.3425
41,D2018_02_25_S00434_I0776,E4,5860,zona,0.9998,0.3228
42,D2018_02_25_S00434_I0776,E4,5860,embryo,0.9998,0.1987
43,D2018_02_25_S00434_I0776,E4,4945,embryo,1.0000,0.1904
44,D2018_02_25_S00434_I0776,E4,4945,zona,0.9998,0.3519
45,D2018_02_25_S00434_I0776,E4,5635,zona,0.9999,0.3292
46,D2018_02_25_S00434_I0776,E4,5635,embryo,0.9998,0.1867
47,D2018_02_25_S00434_I0776,E4,3917,zona,0.9999,0.3280
48,D2018_02_25_S00434_I0776,E4,3917,embryo,0.9999,0.1937
49,D2018_02_25_S00434_I0776,E4,4147,embryo,0.9999,0.2129
50,D2018_02_25_S00434_I0776,E4,4147,zona,0.9995,0.3253
51,D2018_02_25_S00434_I0776,E4,5315,embryo,0.9999,0.1991
52,D2018_02_25_S00434_I0776,E4,5315,zona,0.9998,0.3401
53,D2018_02_25_S00434_I0776,E4,4127,embryo,1.0000,0.2046
54,D2018_02_25_S00434_I0776,E4,4127,zona,0.9996,0.3314
55,D2018_02_25_S00434_I0776,E4,2976,zona,0.9998,0.3483
56,D2018_02_25_S00434_I0776,E4,2976,embryo,0.9981,0.2245
57,D2018_02_25_S00434_I0776,E4,5375,embryo,0.9999,0.1961
58,D2018_02_25_S00434_I0776,E4,5375,zona,0.9999,0.3245
59,D2018_02_25_S00434_I0776,E4,4057,embryo,0.9999,0.2024
60,D2018_02_25_S00434_I0776,E4,4057,zona,0.9996,0.3342
61,D2018_02_25_S00434_I0776,E4,1278,embryo,0.9997,0.1950
62,D2018_02_25_S00434_I0776,E4,1278,zona,0.9992,0.3289
63,D2018_02_25_S00434_I0776,E4,2319,zona,0.9987,0.3445
64,D2018_02_25_S00434_I0776,E4,2319,embryo,0.9972,0.2023
65,D2018_02_25_S00434_I0776,E4,4815,zona,0.9999,0.3521
66,D2018_02_25_S00434_I0776,E4,4815,embryo,0.9997,0.2171
67,D2018_02_25_S00434_I0776,E4,6591,zona,0.9610,0.3393
68,D2018_02_25_S00434_I0776,E4,6591,embryo,0.8362,0.2594
69,D2018_02_25_S00434_I0776,E4,2582,zona,0.9995,0.3535
70,D2018_02_25_S00434_I0776,E4,2582,embryo,0.9954,0.2329
71,D2018_02_25_S00434_I0776,E4,3807,embryo,1.0000,0.1873
72,D2018_02_25_S00434_I0776,E4,3807,zona,0.9999,0.3412
73,D2018_02_25_S00434_I0776,E4,2986,zona,0.9997,0.3636
74,D2018_02_25_S00434_I0776,E4,2986,embryo,0.9989,0.2177
75,D2018_02_25_S00434_I0776,E4,5940,zona,0.9996,0.3399
76,D2018_02_25_S00434_I0776,E4,5940,embryo,0.9992,0.2055
77,D2018_02_25_S00434_I0776,E4,5705,embryo,1.0000,0.2060
78,D2018_02_25_S00434_I0776,E4,5705,zona,0.9999,0.3575
79,D2018_02_25_S00434_I0776,E4,5225,zona,0.9992,0.3268
80,D2018_02_25_S00434_I0776,E4,5225,embryo,0.9862,0.2208
81,D2018_02_25_S00434_I0776,E4,6070,zona,0.9999,0.3294
82,D2018_02_25_S00434_I0776,E4,6070,embryo,0.9985,0.2261
83,D2018_02_25_S00434_I0776,E4,5645,zona,0.9999,0.3357
84,D2018_02_25_S00434_I0776,E4,5645,embryo,0.9995,0.1876
85,D2018_02_25_S00434_I0776,E4,5802,embryo,0.9999,0.1973
86,D2018_02_25_S00434_I0776,E4,5802,zona,0.9999,0.3192
87,D2018_02_25_S00434_I0776,E4,1938,embryo,0.9999,0.1911
88,D2018_02_25_S00434_I0776,E4,1938,zona,0.9994,0.3649
89,D2018_02_25_S00434_I0776,E4,2746,zona,0.9991,0.3424
90,D2018_02_25_S00434_I0776,E4,2746,embryo,0.9936,0.2314
91,D2018_02_25_S00434_I0776,E4,6311,embryo,1.0000,0.2340
92,D2018_02_25_S00434_I0776,E4,6311,zona,0.9999,0.3625
