,Batch,ID,Time,Embryo,Zona,Ratio
0,D2018_02_25_S00434_I0776,E4,3907,0.1928,0.3329,0.5792
1,D2018_02_25_S00434_I0776,E4,2429,0.2188,0.3295,0.6640
2,D2018_02_25_S00434_I0776,E4,4355,0.1993,0.3247,0.6138
3,D2018_02_25_S00434_I0776,E4,5335,0.2103,0.3318,0.6338
4,D2018_02_25_S00434_I0776,E4,5425,0.2472,0.3240,0.7630
5,D2018_02_25_S00434_I0776,E4,3426,0.1829,0.3386,0.5402
6,D2018_02_25_S00434_I0776,E4,2499,0.2292,0.3663,0.6257
7,D2018_02_25_S00434_I0776,E4,4765,0.1966,0.3502,0.5614
8,D2018_02_25_S00434_I0776,E4,2816,0.2019,0.3702,0.5454
9,D2018_02_25_S00434_I0776,E4,6826,,0.3536,
10,D2018_02_25_S00434_I0776,E4,3597,0.1951,0.3528,0.5530
11,D2018_02_25_S00434_I0776,E4,1418,0.1837,0.2995,0.6134
12,D2018_02_25_S00434_I0776,E4,5145,0.1960,0.3498,0.5603
13,D2018_02_25_S00434_I0776,E4,3547,0.2084,0.3338,0.6243
14,D2018_02_25_S00434_I0776,E4,2299,0.1930,0.3143,0.6141
15,D2018_02_25_S00434_I0776,E4,2846,0.2083,0.3597,0.5791
16,D2018_02_25_S00434_I0776,E4,6671,0.2358,0.3220,0.7323
17,D2018_02_25_S00434_I0776,E4,8916,,,
18,D2018_02_25_S00434_I0776,E4,1148,0.1794,0.3419,0.5247
19,D2018_02_25_S00434_I0776,E4,4585,0.1833,0.3410,0.5375
20,D2018_02_25_S00434_I0776,E4,9136,,,
21,D2018_02_25_S00434_I0776,E4,2098,0.1856,0.3347,0.5545
22,D2018_02_25_S00434_I0776,E4,4267,0.1997,0.3425,0.5831
23,D2018_02_25_S00434_I0776,E4,9457,,,
24,D2018_02_25_S00434_I0776,E4,5860,0.1987,0.3228,0.6156
25,D2018_02_25_S00434_I0776,E4,4945,0.1904,0.3519,0.5411
26,D2018_02_25_S00434_I0776,E4,5635,0.1867,0.3292,0.5671
27,D2018_02_25_S00434_I0776,E4,3917,0.1937,0.3280,0.5905
28,D2018_02_25_S00434_I0776,E4,9116,,,
29,D2018_02_25_S00434_I0776,E4,8496,,,
30,D2018_02_25_S00434_I0776,E4,4147,0.2129,0.3253,0.6545
31,D2018_02_25_S00434_I0776,E4,5315,0.1991,0.3401,0.5854
32,D2018_02_25_S00434_I0776,E4,4127,0.2046,0.3314,0.6174
33,D2018_02_25_S00434_I0776,E4,2976,0.2245,0.3483,0.6446
34,D2018_02_25_S00434_I0776,E4,5375,0.1961,0.3245,0.6043
35,D2018_02_25_S00434_I0776,E4,4057,0.2024,0.3342,0.6056
36,D2018_02_25_S00434_I0776,E4,1278,0.1950,0.3289,0.5929
37,D2018_02_25_S00434_I0776,E4,7927,,,
38,D2018_02_25_S00434_I0776,E4,8241,,,
39,D2018_02_25_S00434_I0776,E4,8666,,,
40,D2018_02_25_S00434_I0776,E4,7070,,,
41,D2018_02_25_S00434_I0776,E4,2319,0.2023,0.3445,0.5872
42,D2018_02_25_S00434_I0776,E4,4815,0.2171,0.3521,0.6166
43,D2018_02_25_S00434_I0776,E4,6591,0.2594,0.3393,0.7645
44,D2018_02_25_S00434_I0776,E4,2582,0.2329,0.3535,0.6588
45,D2018_02_25_S00434_I0776,E4,8201,,,
46,D2018_02_25_S00434_I0776,E4,3807,0.1873,0.3412,0.5489
47,D2018_02_25_S00434_I0776,E4,2986,0.2177,0.3636,0.5987
48,D2018_02_25_S00434_I0776,E4,5940,0.2055,0.3399,0.6046
49,D2018_02_25_S00434_I0776,E4,5705,0.2060,0.3575,0.5762
50,D2018_02_25_S00434_I0776,E4,7656,,,
51,D2018_02_25_S00434_I0776,E4,8231,,,
52,D2018_02_25_S00434_I0776,E4,5225,0.2208,0.3268,0.6756
53,D2018_02_25_S00434_I0776,E4,6070,0.2261,0.3294,0.6864
54,D2018_02_25_S00434_I0776,E4,5645,0.1876,0.3357,0.5588
55,D2018_02_25_S00434_I0776,E4,8311,,,
56,D2018_02_25_S00434_I0776,E4,5802,0.1973,0.3192,0.6181
57,D2018_02_25_S00434_I0776,E4,8372,,,
58,D2018_02_25_S00434_I0776,E4,1938,0.1911,0.3649,0.5237
59,D2018_02_25_S00434_I0776,E4,2746,0.2314,0.3424,0.6758
60,D2018_02_25_S00434_I0776,E4,8157,,,
61,D2018_02_25_S00434_I0776,E4,6311,0.2340,0.3625,0.6455
62,D2018_02_25_S00434_I0776,E4,3687,0.1983,0.3530,0.5618
63,D2018_02_25_S00434_I0776,E4,3577,0.2119,0.3459,0.6126
64,D2018_02_25_S00434_I0776,E4,8281,,,
65,D2018_02_25_S00434_I0776,E4,4237,0.2033,0.3218,0.6318
66,D2018_02_25_S00434_I0776,E4,2796,0.2201,0.3340,0.6590
67,D2018_02_25_S00434_I0776,E4,2409,0.2027,0.3120,0.6497
68,D2018_02_25_S00434_I0776,E4,6441,0.2480,0.3507,0.7072
69,D2018_02_25_S00434_I0776,E4,5305,0.1929,0.3348,0.5762
70,D2018_02_25_S00434_I0776,E4,2088,0.1951,0.3480,0.5606
71,D2018_02_25_S00434_I0776,E4,1908,0.1921,0.3463,0.5547
72,D2018_02_25_S00434_I0776,E4,8946,,,
73,D2018_02_25_S00434_I0776,E4,2552,0.2260,0.3471,0.6511
74,D2018_02_25_S00434_I0776,E4,2329,0.2136,0.3356,0.6365
75,D2018_02_25_S00434_I0776,E4,9046,,,
76,D2018_02_25_S00434_I0776,E4,3277,0.2056,0.3401,0.6045
77,D2018_02_25_S00434_I0776,E4,9507,,,
78,D2018_02_25_S00434_I0776,E4,2389,0.2290,0.3273,0.6997
79,D2018_02_25_S00434_I0776,E4,3817,0.1857,0.3423,0.5425
80,D2018_02_25_S00434_I0776,E4,6721,,0.3398,
81,D2018_02_25_S00434_I0776,E4,7636,,,
82,D2018_02_25_S00434_I0776,E4,2148,0.1864,0.3467,0.5376
83,D2018_02_25_S00434_I0776,E4,8047,,,
84,D2018_02_25_S00434_I0776,E4,7186,,,
85,D2018_02_25_S00434_I0776,E4,2028,0.1962,0.3288,0.5967
86,D2018_02_25_S00434_I0776,E4,4525,0.1844,0.3336,0.5528
87,D2018_02_25_S00434_I0776,E4,8786,,,
88,D2018_02_25_S00434_I0776,E4,1658,0.1759,0.3233,0.5441
89,D2018_02_25_S00434_I0776,E4,8271,,,
90,D2018_02_25_S00434_I0776,E4,1778,0.2073,0.3382,0.6130
91,D2018_02_25_S00434_I0776,E4,6807,,,
92,D2018_02_25_S00434_I0776,E4,1448,0.1930,0.3374,0.5720
93,D2018_02_25_S00434_I0776,E4,1568,0.1796,0.3330,0.5393
94,D2018_02_25_S00434_I0776,E4,5365,0.1937,0.3287,0.5893
95,D2018_02_25_S00434_I0776,E4,6701,,0.3912,
96,D2018_02_25_S00434_I0776,E4,4705,0.1982,0.3415,0.5804
97,D2018_02_25_S00434_I0776,E4,8291,,,
98,D2018_02_25_S00434_I0776,E4,2642,0.2221,0.3477,0.6388
99,D2018_02_25_S00434_I0776,E4,4385,0.1949,0.3187,0.6115
100,D2018_02_25_S00434_I0776,E4,5765,0.2084,0.3261,0.6391
101,D2018_02_25_S00434_I0776,E4,3997,0.1810,0.3255,0.5561
102,D2018_02_25_S00434_I0776,E4,7977,,,
103,D2018_02_25_S00434_I0776,E4,4935,0.1981,0.3444,0.5752
104,D2018_02_25_S00434_I0776,E4,6977,,0.4573,
105,D2018_02_25_S00434_I0776,E4,4875,0.1965,0.3554,0.5529
106,D2018_02_25_S00434_I0776,E4,4625,0.1887,0.3363,0.5611
107,D2018_02_25_S00434_I0776,E4,2038,0.1994,0.3447,0.5785
108,D2018_02_25_S00434_I0776,E4,2622,0.2146,0.3570,0.6011
109,D2018_02_25_S00434_I0776,E4,4805,0.2024,0.3645,0.5553
110,D2018_02_25_S00434_I0776,E4,2339,0.2120,0.3342,0.6344
111,D2018_02_25_S00434_I0776,E4,9567,,,
112,D2018_02_25_S00434_I0776,E4,5355,0.1929,0.3091,0.6241
113,D2018_02_25_S00434_I0776,E4,2379,0.2294,0.3273,0.7009
114,D2018_02_25_S00434_I0776,E4,3857,0.1964,0.3375,0.5819
115,D2018_02_25_S00434_I0776,E4,7446,,,
116,D2018_02_25_S00434_I0776,E4,5655,0.1943,0.3178,0.6114
117,D2018_02_25_S00434_I0776,E4,7586,,,
118,D2018_02_25_S00434_I0776,E4,6040,0.2158,0.3393,0.6360
119,D2018_02_25_S00434_I0776,E4,4405,0.2134,0.3375,0.6323
120,D2018_02_25_S00434_I0776,E4,9537,,,
121,D2018_02_25_S00434_I0776,E4,9266,,,
122,D2018_02_25_S00434_I0776,E4,5830,0.1932,0.3020,0.6397
123,D2018_02_25_S00434_I0776,E4,1838,0.1786,0.3435,0.5199
124,D2018_02_25_S00434_I0776,E4,1438,0.1941,0.3231,0.6007
125,D2018_02_25_S00434_I0776,E4,8706,,,
126,D2018_02_25_S00434_I0776,E4,4685,0.1858,0.3412,0.5445
127,D2018_02_25_S00434_I0776,E4,6501,0.2606,0.3691,0.7060
128,D2018_02_25_S00434_I0776,E4,6161,0.2006,0.3263,0.6148
129,D2018_02_25_S00434_I0776,E4,4257,0.1941,0.3326,0.5836
130,D2018_02_25_S00434_I0776,E4,5435,0.2209,0.3287,0.6720
131,D2018_02_25_S00434_I0776,E4,5930,0.2011,0.3268,0.6154
132,D2018_02_25_S00434_I0776,E4,4515,0.1879,0.3444,0.5456
133,D2018_02_25_S00434_I0776,E4,3717,0.2115,0.3393,0.6233
134,D2018_02_25_S00434_I0776,E4,7917,,,
135,D2018_02_25_S00434_I0776,E4,6100,0.2209,0.3230,0.6839
136,D2018_02_25_S00434_I0776,E4,8077,,,
137,D2018_02_25_S00434_I0776,E4,8686,,,
138,D2018_02_25_S00434_I0776,E4,2269,0.2052,0.3352,0.6122
139,D2018_02_25_S00434_I0776,E4,7897,,,
140,D2018_02_25_S00434_I0776,E4,1798,0.1913,0.3443,0.5556
141,D2018_02_25_S00434_I0776,E4,7676,,,
142,D2018_02_25_S00434_I0776,E4,4495,0.1929,0.3412,0.5654
