,Batch,ID,Time,Class,Confidence,Size
0,D2016_05_27_S0028_I776,E10,2965,zona,0.9996,0.3002
1,D2016_05_27_S0028_I776,E10,2965,embryo,0.6774,0.1904
2,D2016_05_27_S0028_I776,E10,8161,zona,0.9996,0.3465
3,D2016_05_27_S0028_I776,E10,8161,embryo,0.9992,0.2615
4,D2016_05_27_S0028_I776,E10,7760,zona,0.9997,0.2950
5,D2016_05_27_S0028_I776,E10,7760,embryo,0.9946,0.2173
6,D2016_05_27_S0028_I776,E10,2424,zona,0.9999,0.3008
7,D2016_05_27_S0028_I776,E10,2424,embryo,0.9983,0.1867
8,D2016_05_27_S0028_I776,E10,3265,zona,0.9999,0.3019
9,D2016_05_27_S0028_I776,E10,3265,embryo,0.9997,0.2075
10,D2016_05_27_S0028_I776,E10,5253,zona,0.9999,0.3167
11,D2016_05_27_S0028_I776,E10,5253,embryo,0.9999,0.2050
12,D2016_05_27_S0028_I776,E10,6086,zona,0.9998,0.2959
13,D2016_05_27_S0028_I776,E10,6086,embryo,0.9825,0.1861
14,D2016_05_27_S0028_I776,E10,961,zona,0.9987,0.3129
15,D2016_05_27_S0028_I776,E10,961,embryo,0.9975,0.1787
16,D2016_05_27_S0028_I776,E10,7540,zona,0.9998,0.2843
17,D2016_05_27_S0028_I776,E10,7540,embryo,0.9622,0.2195
18,D2016_05_27_S0028_I776,E10,4373,zona,0.9999,0.3015
19,D2016_05_27_S0028_I776,E10,4373,embryo,0.9999,0.1862
20,D2016_05_27_S0028_I776,E10,3115,zona,0.9999,0.3182
21,D2016_05_27_S0028_I776,E10,3115,embryo,0.9909,0.1831
22,D2016_05_27_S0028_I776,E10,5585,zona,0.9999,0.2793
23,D2016_05_27_S0028_I776,E10,5585,embryo,0.9861,0.2063
24,D2016_05_27_S0028_I776,E10,4263,embryo,1.0000,0.1823
25,D2016_05_27_S0028_I776,E10,4263,zona,1.0000,0.3130
26,D2016_05_27_S0028_I776,E10,7180,zona,0.9998,0.2710
27,D2016_05_27_S0028_I776,E10,7180,embryo,0.9248,0.2174
28,D2016_05_27_S0028_I776,E10,1241,zona,0.9970,0.3098
29,D2016_05_27_S0028_I776,E10,1241,embryo,0.9916,0.1813
30,D2016_05_27_S0028_I776,E10,2191,embryo,0.9997,0.1707
31,D2016_05_27_S0028_I776,E10,2191,zona,0.9995,0.3218
32,D2016_05_27_S0028_I776,E10,7741,zona,0.9987,0.3060
33,D2016_05_27_S0028_I776,E10,7741,embryo,0.5614,0.2163
34,D2016_05_27_S0028_I776,E10,3485,zona,0.9998,0.3105
35,D2016_05_27_S0028_I776,E10,3485,embryo,0.9978,0.2070
36,D2016_05_27_S0028_I776,E10,2171,embryo,1.0000,0.1923
37,D2016_05_27_S0028_I776,E10,2171,zona,0.9999,0.3423
38,D2016_05_27_S0028_I776,E10,7490,zona,0.9999,0.2935
39,D2016_05_27_S0028_I776,E10,7490,embryo,0.9997,0.2101
40,D2016_05_27_S0028_I776,E10,3165,zona,0.9999,0.3182
41,D2016_05_27_S0028_I776,E10,3165,embryo,0.9902,0.1933
42,D2016_05_27_S0028_I776,E10,7921,zona,0.9989,0.3132
43,D2016_05_27_S0028_I776,E10,7921,embryo,0.9974,0.1720
44,D2016_05_27_S0028_I776,E10,2261,zona,0.9996,0.2952
45,D2016_05_27_S0028_I776,E10,2261,embryo,0.9482,0.2017
46,D2016_05_27_S0028_I776,E10,5465,zona,0.9999,0.2982
47,D2016_05_27_S0028_I776,E10,5465,embryo,0.9567,0.1960
48,D2016_05_27_S0028_I776,E10,4433,zona,0.9999,0.3037
49,D2016_05_27_S0028_I776,E10,4433,embryo,0.9984,0.1964
50,D2016_05_27_S0028_I776,E10,7530,zona,0.9999,0.2838
51,D2016_05_27_S0028_I776,E10,7530,embryo,0.9922,0.2110
52,D2016_05_27_S0028_I776,E10,5656,zona,0.9991,0.2760
53,D2016_05_27_S0028_I776,E10,5383,zona,0.9994,0.2978
54,D2016_05_27_S0028_I776,E10,5383,embryo,0.9925,0.1855
55,D2016_05_27_S0028_I776,E10,2755,zona,0.9999,0.3027
56,D2016_05_27_S0028_I776,E10,2755,embryo,0.9962,0.1756
57,D2016_05_27_S0028_I776,E10,5786,zona,0.9999,0.2897
58,D2016_05_27_S0028_I776,E10,5786,embryo,0.9613,0.2124
59,D2016_05_27_S0028_I776,E10,2895,zona,0.9999,0.2940
60,D2016_05_27_S0028_I776,E10,2895,embryo,0.9806,0.1960
61,D2016_05_27_S0028_I776,E10,3992,zona,0.9999,0.3113
62,D2016_05_27_S0028_I776,E10,3992,embryo,0.9997,0.1874
63,D2016_05_27_S0028_I776,E10,1501,zona,0.9997,0.3053
64,D2016_05_27_S0028_I776,E10,1501,embryo,0.9942,0.1721
65,D2016_05_27_S0028_I776,E10,5133,zona,0.9998,0.2883
66,D2016_05_27_S0028_I776,E10,5133,embryo,0.9936,0.1860
67,D2016_05_27_S0028_I776,E10,4343,zona,0.9999,0.2847
68,D2016_05_27_S0028_I776,E10,4343,embryo,0.9995,0.1812
69,D2016_05_27_S0028_I776,E10,3936,embryo,1.0000,0.1849
70,D2016_05_27_S0028_I776,E10,3936,zona,0.9999,0.3151
71,D2016_05_27_S0028_I776,E10,6146,zona,0.9999,0.2874
72,D2016_05_27_S0028_I776,E10,6146,embryo,0.9953,0.1936
73,D2016_05_27_S0028_I776,E10,3035,zona,0.9999,0.3163
74,D2016_05_27_S0028_I776,E10,3035,embryo,0.9987,0.1928
75,D2016_05_27_S0028_I776,E10,5313,embryo,0.9999,0.1973
76,D2016_05_27_S0028_I776,E10,5313,zona,0.9999,0.3185
77,D2016_05_27_S0028_I776,E10,5806,zona,0.9997,0.2735
78,D2016_05_27_S0028_I776,E10,5806,embryo,0.9748,0.1956
79,D2016_05_27_S0028_I776,E10,4663,zona,0.9999,0.2892
80,D2016_05_27_S0028_I776,E10,4663,embryo,0.9991,0.1990
81,D2016_05_27_S0028_I776,E10,6830,zona,0.9989,0.2886
82,D2016_05_27_S0028_I776,E10,6830,embryo,0.9794,0.1917
83,D2016_05_27_S0028_I776,E10,5766,zona,0.9997,0.3051
84,D2016_05_27_S0028_I776,E10,5766,embryo,0.9428,0.2089
85,D2016_05_27_S0028_I776,E10,7450,zona,0.9999,0.2770
86,D2016_05_27_S0028_I776,E10,7450,embryo,0.9991,0.1890
87,D2016_05_27_S0028_I776,E10,5816,zona,0.9997,0.2530
88,D2016_05_27_S0028_I776,E10,5816,embryo,0.7606,0.1805
89,D2016_05_27_S0028_I776,E10,5966,zona,0.9999,0.2778
90,D2016_05_27_S0028_I776,E10,5966,embryo,0.9985,0.1810
91,D2016_05_27_S0028_I776,E10,4813,zona,0.9999,0.2992
92,D2016_05_27_S0028_I776,E10,4813,embryo,0.9882,0.1956
93,D2016_05_27_S0028_I776,E10,6556,zona,0.9992,0.2693
94,D2016_05_27_S0028_I776,E10,2091,zona,0.9995,0.3257
95,D2016_05_27_S0028_I776,E10,2091,embryo,0.9868,0.1976
96,D2016_05_27_S0028_I776,E10,6306,zona,0.9998,0.2794
97,D2016_05_27_S0028_I776,E10,6306,embryo,0.6039,0.2064
98,D2016_05_27_S0028_I776,E10,2381,zona,0.9999,0.2901
99,D2016_05_27_S0028_I776,E10,2381,embryo,0.9992,0.1771
100,D2016_05_27_S0028_I776,E10,6683,zona,0.9997,0.2855
101,D2016_05_27_S0028_I776,E10,6683,embryo,0.6795,0.1770
102,D2016_05_27_S0028_I776,E10,1181,embryo,0.9992,0.1726
103,D2016_05_27_S0028_I776,E10,1181,zona,0.9983,0.3021
104,D2016_05_27_S0028_I776,E10,4693,zona,0.9999,0.3011
105,D2016_05_27_S0028_I776,E10,4693,embryo,0.9987,0.1826
106,D2016_05_27_S0028_I776,E10,2605,zona,0.9999,0.3012
107,D2016_05_27_S0028_I776,E10,2605,embryo,0.9927,0.1929
108,D2016_05_27_S0028_I776,E10,1131,zona,0.9986,0.2962
109,D2016_05_27_S0028_I776,E10,1131,embryo,0.9963,0.1524
110,D2016_05_27_S0028_I776,E10,2765,zona,0.9999,0.2927
111,D2016_05_27_S0028_I776,E10,2765,embryo,0.9959,0.1861
112,D2016_05_27_S0028_I776,E10,1491,zona,0.9998,0.3010
113,D2016_05_27_S0028_I776,E10,1491,embryo,0.9980,0.1757
114,D2016_05_27_S0028_I776,E10,4933,zona,0.9999,0.3088
115,D2016_05_27_S0028_I776,E10,4933,embryo,0.9998,0.1905
116,D2016_05_27_S0028_I776,E10,5856,zona,0.9999,0.2839
117,D2016_05_27_S0028_I776,E10,5856,embryo,0.9934,0.1977
118,D2016_05_27_S0028_I776,E10,2241,embryo,0.9926,0.2094
119,D2016_05_27_S0028_I776,E10,2241,zona,0.9671,0.3383
120,D2016_05_27_S0028_I776,E10,6376,zona,0.9992,0.2609
121,D2016_05_27_S0028_I776,E10,6376,embryo,0.9661,0.1879
122,D2016_05_27_S0028_I776,E10,5425,zona,0.9997,0.2874
123,D2016_05_27_S0028_I776,E10,5425,embryo,0.8991,0.1912
124,D2016_05_27_S0028_I776,E10,3765,zona,0.9999,0.3061
125,D2016_05_27_S0028_I776,E10,3765,embryo,0.9996,0.1848
126,D2016_05_27_S0028_I776,E10,7000,zona,0.9999,0.2937
127,D2016_05_27_S0028_I776,E10,7000,embryo,0.9948,0.2089
128,D2016_05_27_S0028_I776,E10,8030,zona,0.9993,0.3339
129,D2016_05_27_S0028_I776,E10,8030,embryo,0.9966,0.1881
130,D2016_05_27_S0028_I776,E10,1011,zona,0.9991,0.3051
131,D2016_05_27_S0028_I776,E10,1011,embryo,0.6328,0.2015
132,D2016_05_27_S0028_I776,E10,5303,zona,0.9997,0.2937
133,D2016_05_27_S0028_I776,E10,5303,embryo,0.9942,0.1978
134,D2016_05_27_S0028_I776,E10,2111,zona,0.9998,0.3153
135,D2016_05_27_S0028_I776,E10,2111,embryo,0.9995,0.1932
136,D2016_05_27_S0028_I776,E10,5776,zona,0.9997,0.2934
137,D2016_05_27_S0028_I776,E10,5776,embryo,0.9513,0.2050
138,D2016_05_27_S0028_I776,E10,4583,zona,0.9999,0.2864
139,D2016_05_27_S0028_I776,E10,4583,embryo,0.9976,0.2032
140,D2016_05_27_S0028_I776,E10,7780,zona,0.9998,0.3351
141,D2016_05_27_S0028_I776,E10,7780,embryo,0.9990,0.2313
142,D2016_05_27_S0028_I776,E10,2101,zona,0.9997,0.3221
143,D2016_05_27_S0028_I776,E10,2101,embryo,0.9971,0.1896
144,D2016_05_27_S0028_I776,E10,5213,zona,0.9998,0.2814
145,D2016_05_27_S0028_I776,E10,5213,embryo,0.9954,0.2000
146,D2016_05_27_S0028_I776,E10,4523,embryo,1.0000,0.1842
147,D2016_05_27_S0028_I776,E10,4523,zona,0.9999,0.3037
148,D2016_05_27_S0028_I776,E10,1031,zona,0.9992,0.3148
149,D2016_05_27_S0028_I776,E10,1031,embryo,0.9973,0.1915
150,D2016_05_27_S0028_I776,E10,3395,zona,0.9999,0.3119
151,D2016_05_27_S0028_I776,E10,3395,embryo,0.9980,0.1928
152,D2016_05_27_S0028_I776,E10,1071,zona,0.9976,0.2865
153,D2016_05_27_S0028_I776,E10,1071,embryo,0.9951,0.1631
154,D2016_05_27_S0028_I776,E10,7230,zona,0.9997,0.2684
155,D2016_05_27_S0028_I776,E10,7230,embryo,0.9918,0.1585
156,D2016_05_27_S0028_I776,E10,4463,zona,0.9999,0.3097
157,D2016_05_27_S0028_I776,E10,4463,embryo,0.9989,0.1926
158,D2016_05_27_S0028_I776,E10,3745,zona,0.9999,0.3145
159,D2016_05_27_S0028_I776,E10,3745,embryo,0.9997,0.1963
160,D2016_05_27_S0028_I776,E10,6116,zona,0.9999,0.3176
161,D2016_05_27_S0028_I776,E10,6116,embryo,0.9887,0.1901
162,D2016_05_27_S0028_I776,E10,6850,zona,0.9999,0.2859
163,D2016_05_27_S0028_I776,E10,6850,embryo,0.9968,0.2021
164,D2016_05_27_S0028_I776,E10,4773,zona,0.9999,0.3079
165,D2016_05_27_S0028_I776,E10,4773,embryo,0.9995,0.1809
166,D2016_05_27_S0028_I776,E10,4883,zona,0.9998,0.2886
167,D2016_05_27_S0028_I776,E10,4883,embryo,0.9996,0.1879
168,D2016_05_27_S0028_I776,E10,8266,zona,0.9993,0.3239
169,D2016_05_27_S0028_I776,E10,8266,embryo,0.9987,0.2249
170,D2016_05_27_S0028_I776,E10,2915,zona,0.9999,0.3089
171,D2016_05_27_S0028_I776,E10,2915,embryo,0.9999,0.1617
172,D2016_05_27_S0028_I776,E10,3355,zona,0.9999,0.2978
173,D2016_05_27_S0028_I776,E10,3355,embryo,0.9998,0.1981
174,D2016_05_27_S0028_I776,E10,4383,zona,0.9999,0.2917
175,D2016_05_27_S0028_I776,E10,4383,embryo,0.9997,0.1805
176,D2016_05_27_S0028_I776,E10,5403,zona,0.9997,0.2981
177,D2016_05_27_S0028_I776,E10,5403,embryo,0.9951,0.1943
178,D2016_05_27_S0028_I776,E10,1001,zona,0.9987,0.3159
179,D2016_05_27_S0028_I776,E10,1001,embryo,0.9294,0.1972
180,D2016_05_27_S0028_I776,E10,2645,zona,0.9998,0.3051
181,D2016_05_27_S0028_I776,E10,2645,embryo,0.9580,0.1941
182,D2016_05_27_S0028_I776,E10,7080,zona,0.9998,0.2692
183,D2016_05_27_S0028_I776,E10,7080,embryo,0.9601,0.1968
184,D2016_05_27_S0028_I776,E10,8216,zona,0.9997,0.3415
185,D2016_05_27_S0028_I776,E10,8216,embryo,0.9952,0.2141
186,D2016_05_27_S0028_I776,E10,6950,zona,0.9989,0.2794
187,D2016_05_27_S0028_I776,E10,6950,embryo,0.9868,0.2054
188,D2016_05_27_S0028_I776,E10,4543,zona,1.0000,0.2931
189,D2016_05_27_S0028_I776,E10,4543,embryo,0.9999,0.2058
190,D2016_05_27_S0028_I776,E10,2011,zona,0.9999,0.3225
191,D2016_05_27_S0028_I776,E10,2011,embryo,0.9999,0.1692
