,Batch,ID,Time,Class,Confidence,Size
0,D2018_02_25_S00434_I0776,E4,3907,embryo,1.0000,0.2034
1,D2018_02_25_S00434_I0776,E4,3907,zona,0.9998,0.3357
2,D2018_02_25_S00434_I0776,E4,2429,embryo,0.9995,0.2085
3,D2018_02_25_S00434_I0776,E4,2429,zona,0.9992,0.3354
4,D2018_02_25_S00434_I0776,E4,4355,embryo,1.0000,0.1880
5,D2018_02_25_S00434_I0776,E4,4355,zona,0.9998,0.3319
6,D2018_02_25_S00434_I0776,E4,5335,embryo,1.0000,0.1959
7,D2018_02_25_S00434_I0776,E4,5335,zona,0.9999,0.3405
8,D2018_02_25_S00434_I0776,E4,5425,embryo,1.0000,0.2153
9,D2018_02_25_S00434_I0776,E4,5425,zona,0.9998,0.3403
10,D2018_02_25_S00434_I0776,E4,3426,embryo,1.0000,0.1886
11,D2018_02_25_S00434_I0776,E4,3426,zona,0.9998,0.3298
12,D2018_02_25_S00434_I0776,E4,2499,embryo,0.9998,0.2044
13,D2018_02_25_S00434_I0776,E4,2499,zona,0.9996,0.3411
14,D2018_02_25_S00434_I0776,E4,4765,embryo,1.0000,0.1910
15,D2018_02_25_S00434_I0776,E4,4765,zona,0.9999,0.3439
16,D2018_02_25_S00434_I0776,E4,2816,embryo,0.9999,0.2051
17,D2018_02_25_S00434_I0776,E4,2816,zona,0.9991,0.3529
18,D2018_02_25_S00434_I0776,E4,3597,embryo,1.0000,0.2071
19,D2018_02_25_S00434_I0776,E4,3597,zona,0.9997,0.3333
20,D2018_02_25_S00434_I0776,E4,1418,embryo,1.0000,0.1893
21,D2018_02_25_S00434_I0776,E4,1418,zona,0.9993,0.3395
22,D2018_02_25_S00434_I0776,E4,5145,embryo,1.0000,0.1947
23,D2018_02_25_S00434_I0776,E4,5145,zona,0.9996,0.3500
24,D2018_02_25_S00434_I0776,E4,3547,embryo,1.0000,0.2082
25,D2018_02_25_S00434_I0776,E4,3547,zona,0.9999,0.3310
26,D2018_02_25_S00434_I0776,E4,2299,embryo,0.9999,0.1867
27,D2018_02_25_S00434_I0776,E4,2299,zona,0.9996,0.3395
28,D2018_02_25_S00434_I0776,E4,2846,embryo,0.9999,0.1964
29,D2018_02_25_S00434_I0776,E4,2846,zona,0.9998,0.3530
